Branch,College_Tier,Attendance,CGPA,Backlogs,Coding_Skills,DSA_Score,Aptitude_Score,Communication_Score,Internships_Count,Projects_Count,Certifications_Count,Mock_Interview_Score,Placement_Probability,Placement_Status
IT,Tier 2,95,6.13,1,53,61,51,56,1,3,4,40,14.63,Not Placed
CSE,Tier 3,69,7.69,4,74,55,79,84,0,2,6,88,29.83,Not Placed
CSE,Tier 2,92,5.62,2,91,67,41,50,3,1,6,71,13.92,Not Placed
ECE,Tier 2,64,7.77,2,87,87,75,45,2,6,2,48,68.71,Placed
IT,Tier 1,94,9.84,2,73,74,53,100,3,7,3,68,92.75,Placed
IT,Tier 3,93,7.23,5,49,99,55,62,1,3,9,65,15.82,Not Placed
MECH,Tier 3,92,5.68,5,74,84,58,66,2,1,6,62,6.52,Not Placed
MECH,Tier 2,80,5.64,2,50,85,73,85,3,7,7,84,25.5,Not Placed
MECH,Tier 3,76,7.25,5,50,47,83,45,0,6,1,82,11.95,Not Placed
MECH,Tier 1,81,6.22,3,60,83,100,77,2,5,8,68,30.1,Not Placed
MECH,Tier 1,96,5.61,2,60,94,85,41,0,4,6,91,14.38,Not Placed
MECH,Tier 1,74,8.9,3,61,94,45,61,1,5,7,77,63.58,Placed
EEE,Tier 3,94,7.56,3,84,61,52,59,3,2,5,72,39.31,Not Placed
IT,Tier 3,87,6.8,2,46,60,75,64,0,5,5,46,21.4,Not Placed
MECH,Tier 3,66,9.55,1,94,65,61,54,1,1,8,51,85.34,Placed
IT,Tier 3,91,6.02,2,56,79,57,99,3,6,3,70,28.97,Not Placed
IT,Tier 3,70,9.8,2,41,60,51,88,1,5,4,71,76.54,Placed
AIML,Tier 1,69,6.91,5,51,64,91,68,0,1,8,93,10.19,Not Placed
EEE,Tier 2,68,9.5,2,96,80,98,47,1,2,0,59,89.04,Placed
MECH,Tier 1,73,8.21,1,81,40,93,76,2,7,3,94,79.67,Placed
CSE,Tier 3,72,9.22,5,57,45,69,88,3,6,6,90,60.34,Placed
ECE,Tier 1,84,9.93,0,93,62,92,91,1,5,8,56,96.73,Placed
CSE,Tier 3,61,6.8,0,98,90,90,72,0,4,9,75,68.53,Placed
EEE,Tier 3,94,9.83,3,50,62,79,61,3,4,5,42,80.6,Placed
ECE,Tier 1,66,7.25,3,55,82,46,89,2,6,7,40,36.08,Not Placed
EEE,Tier 3,80,7.23,1,88,82,71,86,3,4,8,89,71.42,Placed
IT,Tier 2,77,7.03,4,90,62,87,44,2,5,9,66,33.16,Not Placed
ECE,Tier 3,62,7.94,0,57,71,58,78,3,5,3,92,73.9,Placed
IT,Tier 2,98,6.19,3,74,69,45,57,1,6,0,86,14.84,Not Placed
CSE,Tier 2,100,7.99,0,92,52,59,77,1,5,7,79,75.01,Placed
CSE,Tier 3,70,7.94,1,98,82,66,93,0,7,1,72,80.53,Placed
ECE,Tier 1,98,8.93,1,65,57,92,92,2,1,0,59,82.23,Placed
ECE,Tier 2,83,9.25,4,55,62,82,76,0,2,6,53,54.65,Not Placed
MECH,Tier 1,78,7.48,4,45,54,76,69,1,7,9,75,24.88,Not Placed
EEE,Tier 2,63,6.86,5,96,72,87,90,2,7,8,44,40.11,Not Placed
MECH,Tier 3,85,6.67,1,83,60,46,70,0,4,8,62,29.83,Not Placed
EEE,Tier 3,97,6.38,3,82,96,98,49,0,1,2,84,24.88,Not Placed
MECH,Tier 2,91,5.76,0,86,78,44,54,0,6,5,99,26.96,Not Placed
IT,Tier 3,98,7.04,2,86,62,50,81,0,4,6,95,33.99,Not Placed
ECE,Tier 2,95,6.72,4,87,66,54,98,0,1,9,54,16.96,Not Placed
CSE,Tier 3,99,9.85,2,81,84,42,87,2,5,8,45,90.35,Placed
EEE,Tier 1,96,8.01,3,51,83,97,83,0,6,1,72,56.5,Not Placed
EEE,Tier 3,92,7.06,4,99,57,44,57,2,6,7,94,28.2,Not Placed
CSE,Tier 1,95,8.11,2,52,63,62,62,0,4,6,58,41.72,Not Placed
MECH,Tier 3,62,6.13,3,43,90,92,72,1,5,3,52,19.44,Not Placed
EEE,Tier 1,68,7.5,0,78,86,76,55,1,4,1,68,69.6,Placed
IT,Tier 3,67,8.32,3,93,79,48,93,0,3,7,100,59.64,Not Placed
ECE,Tier 1,92,7.7,5,41,90,54,77,3,1,4,45,22.32,Not Placed
CSE,Tier 2,65,7.31,4,65,81,42,74,1,3,5,54,21.54,Not Placed
ECE,Tier 2,100,9.97,1,98,46,68,73,2,1,6,55,91.32,Placed
EEE,Tier 1,98,9.46,0,66,89,45,67,0,2,9,63,84.27,Placed
EEE,Tier 3,63,8.31,2,66,87,56,41,2,7,0,62,66.8,Placed
CSE,Tier 1,72,8.06,4,54,59,65,69,3,6,7,87,42.63,Not Placed
IT,Tier 3,61,8.29,1,47,66,60,52,0,4,3,49,49.87,Not Placed
AIML,Tier 2,64,6.41,3,46,45,47,80,1,2,8,93,7.97,Not Placed
CSE,Tier 3,86,7.28,1,86,66,60,55,2,2,0,80,49.87,Not Placed
AIML,Tier 2,91,5.68,4,94,48,96,98,1,6,1,80,18.92,Not Placed
MECH,Tier 3,80,7.64,4,85,92,50,44,1,6,5,88,39.01,Not Placed
AIML,Tier 3,67,7.94,5,79,84,77,94,0,1,9,56,36.37,Not Placed
IT,Tier 3,97,6.52,5,99,96,47,67,2,3,0,88,20.43,Not Placed
MECH,Tier 1,67,9.84,1,51,70,81,92,3,5,3,95,92.97,Placed
AIML,Tier 1,62,9.59,3,52,60,63,78,1,1,7,83,64.35,Placed
MECH,Tier 2,62,8.75,1,82,65,100,84,0,5,9,84,85.8,Placed
AIML,Tier 2,81,7.9,4,56,79,74,59,0,2,4,69,27.87,Not Placed
IT,Tier 1,65,9.41,4,100,87,94,63,3,5,8,83,89.79,Placed
AIML,Tier 2,61,6.09,2,56,84,53,100,0,3,5,85,17.25,Not Placed
AIML,Tier 1,82,9.06,5,95,52,94,66,1,1,0,49,59.54,Not Placed
AIML,Tier 3,61,6.06,2,75,88,53,69,0,6,5,94,22.54,Not Placed
CSE,Tier 2,97,9.07,0,60,62,49,97,2,3,5,58,83.65,Placed
CSE,Tier 2,76,6.74,4,47,59,51,84,2,7,5,68,16.15,Not Placed
CSE,Tier 1,94,9.45,2,44,76,77,66,1,3,7,41,75.32,Placed
IT,Tier 2,93,9.75,1,65,93,83,65,2,7,5,75,94.42,Placed
MECH,Tier 2,82,6.17,5,55,92,94,46,3,1,4,58,11.69,Not Placed
EEE,Tier 3,89,7.58,5,75,67,85,81,0,6,1,46,32.52,Not Placed
AIML,Tier 2,67,9.91,3,67,56,73,86,1,3,3,65,80.47,Placed
AIML,Tier 3,81,7.68,1,93,67,80,92,3,7,9,54,83.19,Placed
IT,Tier 1,95,9.39,3,68,80,49,98,0,6,4,86,76.54,Placed
AIML,Tier 2,64,8.15,2,86,41,97,77,3,4,9,95,74.14,Placed
CSE,Tier 3,72,7.19,0,51,64,56,44,1,4,3,77,37.83,Not Placed
EEE,Tier 1,88,6.79,1,76,97,56,62,1,4,1,42,45.4,Not Placed
ECE,Tier 2,90,6.41,1,69,89,42,67,3,5,6,77,39.31,Not Placed
AIML,Tier 1,75,8.93,1,62,80,70,73,0,3,9,55,76.31,Placed
CSE,Tier 2,89,7.24,3,55,45,90,92,2,1,9,41,29.23,Not Placed
ECE,Tier 1,75,7.8,2,53,50,40,54,2,1,1,70,26.96,Not Placed
EEE,Tier 1,71,7.72,1,49,96,51,71,3,5,0,67,63.58,Placed
ECE,Tier 3,76,8.1,1,46,100,78,65,1,1,4,46,62.12,Placed
CSE,Tier 1,75,9.4,5,84,77,43,87,0,7,0,69,66.15,Placed
MECH,Tier 2,71,9.91,0,91,45,81,70,0,4,0,82,92.83,Placed
MECH,Tier 2,67,7.33,5,99,84,52,58,1,3,0,97,26.63,Not Placed
ECE,Tier 3,79,9.22,5,100,50,73,48,2,1,5,46,58.23,Not Placed
IT,Tier 2,62,8.94,0,76,53,81,68,0,1,8,75,79.19,Placed
ECE,Tier 2,75,8.08,2,68,41,60,93,3,2,9,68,54.96,Not Placed
AIML,Tier 2,89,9.8,5,42,79,61,100,2,2,0,63,64.06,Placed
AIML,Tier 1,82,6.4,2,54,42,96,97,3,2,4,91,28.12,Not Placed
MECH,Tier 1,87,5.99,5,75,94,43,90,2,3,8,78,11.06,Not Placed
IT,Tier 2,99,9.34,4,86,92,57,78,1,4,8,43,76.69,Placed
CSE,Tier 3,64,7.48,0,85,74,44,43,3,6,0,68,68.53,Placed
AIML,Tier 1,79,9.31,5,91,72,58,42,3,4,7,83,67.07,Placed
MECH,Tier 3,99,9.52,4,58,63,41,95,1,4,0,44,61.14,Placed
EEE,Tier 2,60,5.78,3,52,58,51,68,3,3,7,94,8.76,Not Placed
MECH,Tier 2,89,9.48,4,81,57,56,91,2,7,0,68,78.57,Placed
AIML,Tier 1,80,7.52,1,60,88,49,50,0,7,4,69,48.52,Not Placed
AIML,Tier 2,79,7.8,5,76,91,73,72,0,3,7,68,33.07,Not Placed
MECH,Tier 1,65,8.32,4,66,100,45,77,1,2,5,65,44.58,Not Placed
CSE,Tier 2,81,9.67,2,94,63,47,97,2,1,8,58,86.45,Placed
ECE,Tier 2,77,5.59,3,91,84,100,50,3,5,0,65,28.97,Not Placed
AIML,Tier 1,67,7.65,5,68,74,90,66,3,5,8,76,41.41,Not Placed
MECH,Tier 1,98,8.59,1,59,40,50,72,0,6,0,66,58.13,Not Placed
MECH,Tier 1,91,8.75,4,64,75,96,60,3,1,9,69,63.2,Placed
IT,Tier 2,92,8.62,3,45,64,51,78,0,6,9,90,45.4,Not Placed
ECE,Tier 2,75,6.1,5,75,84,48,70,1,2,2,92,7.79,Not Placed
EEE,Tier 3,71,6.85,3,41,88,41,77,3,6,0,69,25.74,Not Placed
CSE,Tier 1,97,7.11,1,61,99,47,85,2,1,2,42,46.34,Not Placed
EEE,Tier 2,93,9.12,4,71,82,97,41,3,1,1,98,71.24,Placed
ECE,Tier 2,73,6.75,3,55,73,50,66,0,5,1,97,15.98,Not Placed
ECE,Tier 1,95,6.45,3,57,64,99,75,1,7,8,82,27.53,Not Placed
ECE,Tier 3,92,9.81,0,44,55,92,50,0,2,7,46,83.53,Placed
EEE,Tier 1,82,5.54,3,93,73,75,86,3,3,0,100,22.76,Not Placed
ECE,Tier 3,61,9.99,0,75,68,49,57,0,6,3,88,90.95,Placed
MECH,Tier 2,100,8.55,4,69,58,60,98,0,5,0,96,48.62,Not Placed
EEE,Tier 3,80,9.23,5,84,62,59,40,1,6,0,48,55.78,Not Placed
ECE,Tier 2,61,6.83,5,58,58,87,74,2,6,3,92,18.98,Not Placed
MECH,Tier 1,86,5.56,4,62,64,47,74,3,3,1,80,6.8,Not Placed
IT,Tier 1,68,8.82,4,73,55,75,70,1,2,2,81,51.74,Not Placed
ECE,Tier 1,60,9.25,2,52,93,68,67,2,1,8,52,76.69,Placed
EEE,Tier 3,70,8.83,4,82,90,81,78,0,4,1,54,69.15,Placed
AIML,Tier 2,62,6.14,3,93,48,51,40,2,6,3,93,16.32,Not Placed
ECE,Tier 1,82,8.89,5,68,40,100,64,0,4,0,44,44.68,Not Placed
AIML,Tier 1,85,8.96,1,75,81,53,82,0,2,1,68,76.91,Placed
MECH,Tier 2,63,8.46,5,61,58,87,77,1,4,4,74,41.31,Not Placed
IT,Tier 1,77,8.95,0,91,72,93,59,0,6,9,66,91.08,Placed
CSE,Tier 2,65,9.31,5,91,73,89,42,1,3,0,66,66.7,Placed
IT,Tier 2,94,8.26,2,86,55,60,90,2,4,6,47,68.98,Placed
ECE,Tier 2,81,5.9,4,75,83,61,41,2,2,3,71,9.71,Not Placed
AIML,Tier 2,74,7.69,4,48,79,60,57,0,2,5,59,18.98,Not Placed
AIML,Tier 2,81,5.85,5,78,94,83,83,1,7,7,49,17.61,Not Placed
EEE,Tier 3,96,7.33,1,90,57,89,100,0,7,5,52,69.24,Placed
AIML,Tier 1,71,7.33,1,58,73,69,49,1,3,1,68,41.01,Not Placed
EEE,Tier 3,97,5.8,2,77,64,78,44,1,4,0,74,16.61,Not Placed
MECH,Tier 1,77,7.07,0,45,100,59,48,1,4,7,100,45.61,Not Placed
CSE,Tier 3,94,6.0,5,91,84,63,41,2,7,7,93,14.69,Not Placed
ECE,Tier 2,89,9.14,4,86,45,62,73,1,1,8,47,55.16,Not Placed
EEE,Tier 1,83,9.76,5,54,60,46,99,2,5,5,68,63.68,Placed
CSE,Tier 1,89,5.83,2,96,97,48,77,1,2,0,70,24.49,Not Placed
AIML,Tier 3,73,9.8,3,59,45,40,100,2,1,8,80,68.08,Placed
AIML,Tier 3,65,7.85,3,48,71,65,70,3,2,2,69,39.81,Not Placed
CSE,Tier 1,62,6.85,2,71,80,77,49,2,1,5,61,33.34,Not Placed
AIML,Tier 3,75,5.85,4,43,87,77,89,2,7,9,60,14.95,Not Placed
MECH,Tier 3,66,7.75,2,89,82,93,51,0,7,9,51,68.26,Placed
MECH,Tier 3,73,9.08,4,57,78,100,75,1,5,8,50,71.33,Placed
CSE,Tier 2,68,8.68,1,44,70,83,93,3,1,2,41,76.83,Placed
EEE,Tier 2,74,5.73,2,59,81,61,60,0,2,4,89,10.23,Not Placed
EEE,Tier 3,80,5.83,4,62,49,83,88,1,4,4,80,9.42,Not Placed
CSE,Tier 3,94,7.31,2,50,69,49,86,3,2,9,41,35.7,Not Placed
EEE,Tier 2,61,6.83,2,76,96,94,45,3,6,6,73,58.33,Not Placed
EEE,Tier 2,86,6.55,4,61,91,97,87,3,7,3,42,40.01,Not Placed
MECH,Tier 1,61,6.76,4,97,57,45,88,1,3,3,55,20.37,Not Placed
EEE,Tier 1,94,9.12,0,43,99,56,42,3,3,6,90,83.88,Placed
IT,Tier 2,77,9.68,2,68,63,90,49,3,7,8,43,90.31,Placed
ECE,Tier 3,73,7.32,3,83,91,89,44,0,6,3,62,47.37,Not Placed
AIML,Tier 3,79,9.58,2,73,100,77,85,2,3,3,96,91.15,Placed
IT,Tier 3,77,6.95,2,52,48,63,65,1,7,5,89,26.22,Not Placed
EEE,Tier 3,69,7.64,4,81,70,90,100,2,3,5,59,52.37,Not Placed
MECH,Tier 1,84,6.52,2,48,54,49,60,0,7,6,64,14.58,Not Placed
CSE,Tier 2,61,8.38,5,81,43,95,84,2,5,0,69,53.41,Not Placed
EEE,Tier 3,84,9.91,2,70,79,47,65,3,4,2,57,88.11,Placed
MECH,Tier 1,92,8.22,5,46,48,60,77,3,4,8,81,28.29,Not Placed
ECE,Tier 3,95,7.11,3,43,84,95,83,1,2,5,50,30.98,Not Placed
EEE,Tier 2,90,8.42,4,58,48,45,65,1,6,5,68,33.53,Not Placed
CSE,Tier 1,73,6.05,2,81,65,60,47,1,7,4,56,21.82,Not Placed
MECH,Tier 2,60,9.5,5,69,43,96,44,0,1,2,65,47.06,Not Placed
MECH,Tier 2,75,7.76,5,70,56,78,54,1,2,4,95,21.75,Not Placed
MECH,Tier 1,62,7.52,5,74,55,63,98,0,2,0,96,19.57,Not Placed
ECE,Tier 1,94,8.14,1,96,54,72,55,3,7,2,62,81.18,Placed
EEE,Tier 1,100,8.31,0,60,74,98,40,2,7,3,95,83.48,Placed
ECE,Tier 1,65,5.82,3,100,96,57,55,3,2,4,91,24.03,Not Placed
AIML,Tier 1,84,8.57,2,70,91,95,76,3,2,9,87,82.66,Placed
AIML,Tier 1,72,6.59,1,58,44,67,42,3,4,8,59,26.71,Not Placed
EEE,Tier 1,93,8.71,2,70,94,96,91,1,1,3,84,80.79,Placed
ECE,Tier 3,67,9.2,2,92,44,91,86,1,2,2,41,82.72,Placed
CSE,Tier 2,80,9.12,4,71,59,71,70,1,4,9,63,61.14,Placed
MECH,Tier 1,93,7.99,4,41,54,51,52,2,2,0,70,18.98,Not Placed
MECH,Tier 3,63,7.84,4,98,57,87,95,1,3,9,66,53.41,Not Placed
EEE,Tier 3,84,6.14,1,91,86,81,55,0,2,5,41,33.34,Not Placed
AIML,Tier 3,74,8.99,2,49,41,66,94,3,7,6,96,75.78,Placed
AIML,Tier 2,63,6.72,0,41,68,49,82,2,6,9,53,39.11,Not Placed
MECH,Tier 1,71,7.74,3,41,52,85,60,2,6,7,43,37.14,Not Placed
EEE,Tier 3,91,6.78,4,99,43,96,41,2,2,0,88,23.88,Not Placed
ECE,Tier 2,91,6.1,4,63,81,91,93,2,5,3,52,22.61,Not Placed
AIML,Tier 2,87,8.33,2,56,84,81,66,2,3,4,75,66.8,Placed
ECE,Tier 2,72,5.74,2,71,49,71,77,0,1,1,74,10.15,Not Placed
AIML,Tier 3,90,8.87,1,55,100,81,65,3,2,0,83,85.08,Placed
AIML,Tier 1,73,6.93,1,55,70,65,97,2,1,7,93,39.31,Not Placed
IT,Tier 3,79,5.5,4,85,80,64,98,3,3,5,94,15.82,Not Placed
AIML,Tier 3,77,7.8,2,78,47,50,77,1,2,4,47,40.51,Not Placed
CSE,Tier 1,88,5.71,0,92,42,62,85,2,5,8,41,34.18,Not Placed
EEE,Tier 1,65,6.74,3,70,87,73,64,2,4,1,45,32.7,Not Placed
EEE,Tier 1,91,8.68,2,82,85,96,50,3,5,9,70,86.1,Placed
ECE,Tier 2,88,5.78,2,63,48,91,47,2,7,7,93,18.86,Not Placed
AIML,Tier 1,61,9.28,5,40,69,79,47,2,5,9,49,50.5,Not Placed
CSE,Tier 3,82,5.52,1,50,92,62,72,2,4,8,83,19.57,Not Placed
ECE,Tier 1,78,6.61,3,94,50,68,92,0,7,0,60,30.89,Not Placed
IT,Tier 3,90,8.83,4,60,74,70,46,0,4,6,81,45.92,Not Placed
ECE,Tier 2,64,6.92,2,43,76,46,77,2,6,7,49,29.14,Not Placed
ECE,Tier 3,78,5.96,4,46,100,79,60,0,4,2,62,9.67,Not Placed
AIML,Tier 3,93,7.12,2,65,81,72,47,1,2,3,42,32.79,Not Placed
IT,Tier 1,69,6.72,4,86,52,60,90,2,1,2,71,19.18,Not Placed
ECE,Tier 1,84,9.29,3,89,75,41,93,1,6,6,59,80.4,Placed
CSE,Tier 3,61,6.91,1,51,95,57,60,3,6,8,49,49.25,Not Placed
CSE,Tier 1,70,9.05,3,70,52,86,95,1,1,2,68,68.35,Placed
EEE,Tier 2,90,9.51,5,56,51,72,59,3,6,5,80,62.61,Placed
IT,Tier 2,74,7.45,0,72,76,76,47,2,4,7,91,65.96,Placed
IT,Tier 1,68,9.59,1,50,49,73,97,3,5,5,90,88.46,Placed
EEE,Tier 2,82,7.2,3,67,99,59,85,3,3,1,85,46.13,Not Placed
ECE,Tier 1,78,9.84,5,71,95,74,70,1,4,6,73,76.98,Placed
IT,Tier 3,68,5.9,0,40,48,90,89,1,7,1,76,28.8,Not Placed
CSE,Tier 3,94,8.59,5,86,91,89,96,1,7,1,59,73.49,Placed
CSE,Tier 2,80,7.72,2,67,46,100,68,2,5,1,100,57.93,Not Placed
AIML,Tier 1,68,7.24,2,92,41,93,87,2,5,0,100,58.54,Not Placed
IT,Tier 1,87,8.35,4,81,93,57,48,1,6,0,47,55.27,Not Placed
ECE,Tier 2,66,8.67,1,46,95,85,54,2,2,6,46,76.01,Placed
EEE,Tier 3,75,5.52,2,41,99,63,69,2,2,4,45,12.04,Not Placed
EEE,Tier 2,75,6.25,5,81,62,47,65,3,6,2,50,12.91,Not Placed
ECE,Tier 3,92,8.71,1,63,78,100,49,3,6,0,83,87.02,Placed
MECH,Tier 1,63,8.5,2,43,79,69,68,1,1,9,57,52.37,Not Placed
AIML,Tier 3,63,9.85,4,83,78,83,93,2,1,5,90,85.29,Placed
EEE,Tier 2,98,8.92,3,58,60,92,55,3,3,0,81,69.06,Placed
IT,Tier 1,99,9.78,4,65,62,49,75,0,3,8,96,61.24,Placed
AIML,Tier 2,76,8.66,0,50,68,62,59,2,3,1,68,73.98,Placed
IT,Tier 2,96,6.84,2,79,53,91,84,0,3,0,64,35.32,Not Placed
CSE,Tier 3,98,5.97,0,89,65,88,93,1,5,6,60,50.6,Not Placed
AIML,Tier 2,88,9.02,0,82,90,50,76,2,5,5,85,90.98,Placed
EEE,Tier 3,95,8.4,5,50,44,41,61,1,1,5,42,15.22,Not Placed
AIML,Tier 1,97,5.72,1,84,94,97,46,1,2,4,57,31.7,Not Placed
AIML,Tier 3,98,7.12,5,42,70,65,62,1,6,3,63,13.38,Not Placed
AIML,Tier 1,96,9.81,2,51,64,75,80,1,7,3,86,85.9,Placed
MECH,Tier 3,94,7.75,0,42,70,72,79,1,2,2,77,55.47,Not Placed
AIML,Tier 2,66,7.45,3,81,89,86,68,2,4,9,49,56.81,Not Placed
IT,Tier 3,86,7.56,0,66,59,52,55,0,5,7,66,48.93,Not Placed
CSE,Tier 3,87,6.44,3,88,83,79,77,2,3,6,51,34.94,Not Placed
ECE,Tier 1,81,7.16,5,93,94,64,67,2,3,8,46,32.33,Not Placed
AIML,Tier 2,73,7.16,5,41,56,43,87,2,4,0,56,10.98,Not Placed
EEE,Tier 3,66,5.74,1,88,84,81,77,3,2,6,40,39.71,Not Placed
AIML,Tier 2,96,8.95,0,55,41,58,70,3,3,9,97,77.57,Placed
EEE,Tier 3,81,7.37,4,41,64,57,53,2,2,3,89,14.69,Not Placed
IT,Tier 3,64,9.2,5,99,52,76,92,0,6,6,65,69.24,Placed
EEE,Tier 2,61,9.33,5,93,97,69,72,2,4,0,54,78.5,Placed
ECE,Tier 3,86,6.45,1,69,78,58,96,1,7,4,90,43.45,Not Placed
CSE,Tier 2,80,8.46,3,59,67,97,48,3,2,2,99,60.94,Placed
EEE,Tier 3,97,7.63,1,77,81,62,96,3,6,4,72,76.69,Placed
EEE,Tier 1,74,9.46,0,67,94,98,66,2,2,3,76,93.96,Placed
CSE,Tier 2,80,6.47,2,64,45,93,63,2,2,1,86,23.8,Not Placed
ECE,Tier 3,69,8.55,2,71,42,55,52,0,3,3,70,45.82,Not Placed
AIML,Tier 3,82,8.23,3,100,97,40,65,0,1,2,74,53.92,Not Placed
EEE,Tier 1,98,6.83,5,49,74,51,68,1,5,0,40,10.42,Not Placed
CSE,Tier 2,64,6.11,3,99,57,63,90,2,2,9,47,22.91,Not Placed
IT,Tier 3,60,8.43,5,81,50,73,88,2,2,7,51,44.37,Not Placed
CSE,Tier 1,72,8.82,5,79,93,92,82,2,2,4,98,68.8,Placed
IT,Tier 3,80,6.92,2,72,59,96,67,3,1,3,93,41.92,Not Placed
ECE,Tier 2,85,8.4,3,52,44,47,67,1,6,9,96,38.32,Not Placed
AIML,Tier 3,80,7.28,1,95,58,57,47,0,7,4,58,50.6,Not Placed
CSE,Tier 3,77,8.71,5,80,61,96,62,3,7,3,64,68.62,Placed
MECH,Tier 3,96,6.4,4,93,98,87,68,3,4,2,96,39.11,Not Placed
EEE,Tier 3,91,9.51,4,81,99,44,44,3,3,4,71,75.78,Placed
ECE,Tier 1,95,6.79,1,86,58,65,81,3,1,3,51,46.23,Not Placed
CSE,Tier 1,76,7.16,4,76,86,69,46,1,6,0,52,30.63,Not Placed
EEE,Tier 2,94,5.76,0,93,55,93,81,2,2,2,67,41.82,Not Placed
CSE,Tier 1,70,6.0,5,55,63,52,75,0,6,9,40,5.25,Not Placed
IT,Tier 1,80,7.82,1,84,80,58,80,0,1,9,90,58.74,Not Placed
CSE,Tier 2,85,6.7,3,61,43,68,66,3,1,7,45,17.02,Not Placed
MECH,Tier 1,63,9.26,5,96,54,42,97,3,1,6,47,63.1,Placed
CSE,Tier 1,93,5.57,1,59,64,65,85,1,4,1,43,16.9,Not Placed
CSE,Tier 2,77,7.21,2,89,83,79,41,3,5,0,44,59.94,Not Placed
MECH,Tier 2,99,7.02,3,82,94,98,64,0,3,2,64,42.43,Not Placed
ECE,Tier 2,94,5.59,2,66,74,97,48,0,4,4,61,14.9,Not Placed
CSE,Tier 3,100,6.06,5,80,94,97,92,2,4,9,67,23.73,Not Placed
MECH,Tier 3,88,7.36,3,55,53,51,66,2,5,0,78,25.82,Not Placed
EEE,Tier 2,88,7.72,4,73,88,41,40,0,4,2,62,24.8,Not Placed
IT,Tier 2,97,7.32,1,71,58,50,62,0,1,2,43,30.89,Not Placed
IT,Tier 2,80,7.89,5,65,77,83,49,1,1,4,91,25.82,Not Placed
CSE,Tier 3,72,8.18,0,64,75,67,81,1,6,2,43,78.5,Placed
ECE,Tier 3,100,5.54,3,41,46,57,91,0,2,8,86,3.94,Not Placed
ECE,Tier 1,76,7.59,3,51,69,52,64,3,4,0,98,34.28,Not Placed
EEE,Tier 1,68,9.84,5,79,58,76,93,2,2,3,60,74.93,Placed
CSE,Tier 2,100,7.84,5,48,88,61,100,0,3,9,76,25.11,Not Placed
IT,Tier 3,60,8.55,2,51,64,51,42,3,7,9,95,61.63,Placed
ECE,Tier 3,61,6.9,4,65,55,41,45,0,1,3,80,7.26,Not Placed
CSE,Tier 3,88,8.98,2,48,86,76,100,2,6,0,41,83.25,Placed
ECE,Tier 2,92,8.98,2,49,93,46,97,2,3,1,98,74.22,Placed
MECH,Tier 1,69,7.85,4,71,79,65,45,1,6,0,46,38.42,Not Placed
ECE,Tier 2,99,9.89,0,96,90,65,92,1,7,5,88,97.32,Placed
IT,Tier 1,80,6.06,2,73,47,63,41,1,7,2,55,16.27,Not Placed
AIML,Tier 1,87,5.58,2,87,57,51,97,1,5,6,56,17.8,Not Placed
EEE,Tier 2,70,8.97,3,59,67,55,97,2,1,4,59,62.32,Placed
EEE,Tier 1,93,9.13,4,78,55,62,57,3,3,8,97,63.58,Placed
IT,Tier 1,67,6.04,1,99,91,79,62,3,5,6,62,55.06,Not Placed
ECE,Tier 3,81,6.7,0,41,58,99,41,3,7,3,73,48.72,Not Placed
CSE,Tier 1,67,5.58,0,40,81,48,51,0,3,4,50,10.9,Not Placed
ECE,Tier 2,74,6.82,4,90,56,71,61,1,6,4,73,25.11,Not Placed
IT,Tier 2,76,8.98,5,99,84,54,76,1,5,4,72,66.89,Placed
EEE,Tier 1,82,7.83,5,75,52,76,59,2,5,9,65,31.97,Not Placed
ECE,Tier 3,83,7.07,3,63,46,52,78,2,1,8,41,18.67,Not Placed
EEE,Tier 3,78,7.17,3,93,66,44,63,0,2,9,100,24.72,Not Placed
CSE,Tier 1,64,5.51,4,66,49,50,87,0,6,2,62,5.29,Not Placed
EEE,Tier 1,91,6.85,3,41,73,49,59,3,6,5,80,21.47,Not Placed
EEE,Tier 2,60,8.41,0,70,75,91,40,2,5,7,61,83.59,Placed
AIML,Tier 1,82,9.88,0,96,64,52,40,1,5,8,97,92.38,Placed
AIML,Tier 3,96,9.31,1,53,45,80,56,3,1,6,73,77.13,Placed
MECH,Tier 1,67,5.61,5,41,63,92,98,1,2,2,99,5.09,Not Placed
AIML,Tier 2,72,9.54,4,68,57,85,40,3,6,0,54,76.01,Placed
EEE,Tier 2,67,9.02,2,54,62,89,92,1,7,3,49,80.98,Placed
IT,Tier 2,82,9.01,5,51,45,54,91,0,4,5,54,33.53,Not Placed
EEE,Tier 2,60,7.56,2,76,68,81,84,3,4,2,81,64.35,Placed
IT,Tier 2,83,7.29,1,67,64,95,69,1,2,0,68,51.22,Not Placed
IT,Tier 1,94,6.86,1,59,94,46,80,1,3,5,96,37.63,Not Placed
AIML,Tier 1,83,5.8,3,100,56,79,86,2,1,0,62,20.03,Not Placed
ECE,Tier 1,76,6.53,1,78,85,67,42,3,2,8,98,40.61,Not Placed
CSE,Tier 1,64,6.61,1,63,63,71,85,1,4,0,56,35.51,Not Placed
AIML,Tier 2,79,7.68,2,60,50,74,94,2,5,5,99,52.78,Not Placed
AIML,Tier 3,80,8.86,3,49,65,54,50,1,4,0,48,47.48,Not Placed
ECE,Tier 1,99,7.63,1,85,90,87,63,3,5,6,89,80.07,Placed
CSE,Tier 3,90,5.76,5,53,73,75,61,0,1,2,75,3.74,Not Placed
